,amount,context_ref,decimals,element_id,unit_ref
48,0.025,Prior2YearDuration,3,jpcrp_cor_rateofreturnonequitysummaryofbusinessresults,pure
49,0.072,Prior1YearDuration,3,jpcrp_cor_rateofreturnonequitysummaryofbusinessresults,pure
50,0.156,CurrentYearDuration,3,jpcrp_cor_rateofreturnonequitysummaryofbusinessresults,pure
51,19.4,Prior4YearDuration,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
52,320.0,Prior3YearDuration,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
53,49.1,Prior2YearDuration,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
54,17.5,Prior1YearDuration,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
55,9.3,CurrentYearDuration,1,jpcrp_cor_priceearningsratiosummaryofbusinessresults,pure
56,2326000000,Prior4YearDuration,-6,jpcrp_cor_netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,JPY
57,-5079000000,Prior3YearDuration,-6,jpcrp_cor_netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,JPY
58,-5297000000,Prior2YearDuration,-6,jpcrp_cor_netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,JPY
59,7384000000,Prior1YearDuration,-6,jpcrp_cor_netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,JPY
60,1910000000,CurrentYearDuration,-6,jpcrp_cor_netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,JPY
61,-4515000000,Prior4YearDuration,-6,jpcrp_cor_netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,JPY
62,-3077000000,Prior3YearDuration,-6,jpcrp_cor_netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,JPY
63,-1006000000,Prior2YearDuration,-6,jpcrp_cor_netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,JPY
64,-469000000,Prior1YearDuration,-6,jpcrp_cor_netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,JPY
65,-1900000000,CurrentYearDuration,-6,jpcrp_cor_netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,JPY
66,1142000000,Prior4YearDuration,-6,jpcrp_cor_netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,JPY
67,8837000000,Prior3YearDuration,-6,jpcrp_cor_netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,JPY
68,6434000000,Prior2YearDuration,-6,jpcrp_cor_netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,JPY
69,-6614000000,Prior1YearDuration,-6,jpcrp_cor_netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,JPY
70,-512000000,CurrentYearDuration,-6,jpcrp_cor_netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,JPY
71,2672000000,Prior4YearInstant,-6,jpcrp_cor_cashandcashequivalentssummaryofbusinessresults,JPY
72,3322000000,Prior3YearInstant,-6,jpcrp_cor_cashandcashequivalentssummaryofbusinessresults,JPY
73,3438000000,Prior2YearInstant,-6,jpcrp_cor_cashandcashequivalentssummaryofbusinessresults,JPY
74,3809000000,Prior1YearInstant,-6,jpcrp_cor_cashandcashequivalentssummaryofbusinessresults,JPY
75,3387000000,CurrentYearInstant,-6,jpcrp_cor_cashandcashequivalentssummaryofbusinessresults,JPY
76,2909,Prior4YearInstant,0,jpcrp_cor_numberofemployees,pure
77,2753,Prior3YearInstant,0,jpcrp_cor_numberofemployees,pure
78,2460,Prior2YearInstant,0,jpcrp_cor_numberofemployees,pure
79,2397,Prior1YearInstant,0,jpcrp_cor_numberofemployees,pure
80,2111,CurrentYearInstant,0,jpcrp_cor_numberofemployees,pure
81,346,Prior4YearInstant,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
82,786,Prior3YearInstant,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
83,879,Prior2YearInstant,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
84,1213,Prior1YearInstant,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
85,796,CurrentYearInstant,0,jpcrp_cor_averagenumberoftemporaryworkers,pure
86,133674000000,Prior4YearDuration_NonConsolidatedMember,-6,jpcrp_cor_netsalessummaryofbusinessresults,JPY
87,148009000000,Prior3YearDuration_NonConsolidatedMember,-6,jpcrp_cor_netsalessummaryofbusinessresults,JPY
88,165737000000,Prior2YearDuration_NonConsolidatedMember,-6,jpcrp_cor_netsalessummaryofbusinessresults,JPY
89,160610000000,Prior1YearDuration_NonConsolidatedMember,-6,jpcrp_cor_netsalessummaryofbusinessresults,JPY
90,192026000000,CurrentYearDuration_NonConsolidatedMember,-6,jpcrp_cor_netsalessummaryofbusinessresults,JPY
91,2265000000,Prior4YearDuration_NonConsolidatedMember,-6,jpcrp_cor_ordinaryincomelosssummaryofbusinessresults,JPY
92,2187000000,Prior3YearDuration_NonConsolidatedMember,-6,jpcrp_cor_ordinaryincomelosssummaryofbusinessresults,JPY
93,1881000000,Prior2YearDuration_NonConsolidatedMember,-6,jpcrp_cor_ordinaryincomelosssummaryofbusinessresults,JPY
94,1392000000,Prior1YearDuration_NonConsolidatedMember,-6,jpcrp_cor_ordinaryincomelosssummaryofbusinessresults,JPY
95,2546000000,CurrentYearDuration_NonConsolidatedMember,-6,jpcrp_cor_ordinaryincomelosssummaryofbusinessresults,JPY
96,1115000000,Prior4YearDuration_NonConsolidatedMember,-6,jpcrp_cor_netincomelosssummaryofbusinessresults,JPY
97,706000000,Prior3YearDuration_NonConsolidatedMember,-6,jpcrp_cor_netincomelosssummaryofbusinessresults,JPY
98,672000000,Prior2YearDuration_NonConsolidatedMember,-6,jpcrp_cor_netincomelosssummaryofbusinessresults,JPY
99,806000000,Prior1YearDuration_NonConsolidatedMember,-6,jpcrp_cor_netincomelosssummaryofbusinessresults,JPY
100,1806000000,CurrentYearDuration_NonConsolidatedMember,-6,jpcrp_cor_netincomelosssummaryofbusinessresults,JPY
101,5664000000,Prior4YearInstant_NonConsolidatedMember,-6,jpcrp_cor_capitalstocksummaryofbusinessresults,JPY
102,5664000000,Prior3YearInstant_NonConsolidatedMember,-6,jpcrp_cor_capitalstocksummaryofbusinessresults,JPY
103,5664000000,Prior2YearInstant_NonConsolidatedMember,-6,jpcrp_cor_capitalstocksummaryofbusinessresults,JPY
104,5664000000,Prior1YearInstant_NonConsolidatedMember,-6,jpcrp_cor_capitalstocksummaryofbusinessresults,JPY
105,5664000000,CurrentYearInstant_NonConsolidatedMember,-6,jpcrp_cor_capitalstocksummaryofbusinessresults,JPY
