コード,平均損益,純損益,勝率,総R倍数,分け数,勝ち数,平均損益率,負け数,PF,平均期間,平均R倍数,純損益率
1301,3541.66666667,170000.0,0,18.5817071817,1,25,1.47814422853,22,-2.31782945736,4.95833333333,0.387118899619,70.9509229695
1333,2100.0,2100,1,0.84,0,1,1.27737226277,0,-,8.0,0.84,1.27737226277
1332,-294.827586207,-17100.0,0,-7.24210868079,0,23,-0.462310060245,35,-0.630669546436,4.12068965517,-0.124863942772,-26.8139834942
